Date Rptd,DATE OCC,TIME OCC,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON
1/5/2020 0:00,1/5/2020 0:00,1030,77th Street,1256,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,B,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,S  FIGUEROA                     ST,W  75TH                         ST,33.9717,-118.2827
10/11/2020 0:00,10/11/2020 0:00,1930,Central,148,1,110,CRIMINAL HOMICIDE,66,M,H,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,5TH,SAN PEDRO,34.0442,-118.2439
10/24/2020 0:00,10/24/2020 0:00,2120,Pacific,1414,1,210,ROBBERY,56,M,W,TRANSIENT ENCAMPMENT,106.0,UNKNOWN FIREARM,IC,Invest Cont,210.0,4TH                          AV,ROSE,33.9976,-118.467
7/20/2020 0:00,7/20/2020 0:00,650,Hollywood,659,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0,M,X,SIDEWALK,205.0,KITCHEN KNIFE,IC,Invest Cont,230.0,KINGSLEY,DE LONGPRE,34.0967,-118.3031
7/14/2020 0:00,7/13/2020 0:00,300,77th Street,1266,1,210,ROBBERY,39,M,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,80TH                         ST,FIGUEROA,33.9669,-118.2827
3/5/2020 0:00,3/5/2020 0:00,1405,Wilshire,778,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41,M,H,STREET,512.0,MACE/PEPPER SPRAY,AO,Adult Other,230.0,WASHINGTON                   BL,12TH                         AV,34.0399,-118.3297
9/12/2020 0:00,9/12/2020 0:00,245,Hollywood,637,1,210,ROBBERY,13,M,W,SIDEWALK,113.0,SIMULATED GUN,IC,Invest Cont,210.0,GOWER                        ST,HOLLYWOOD                    FY,34.1044,-118.3224
6/9/2020 0:00,6/9/2020 0:00,645,Van Nuys,914,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,F,W,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,230.0,VANOWEN,NOBLE,34.1939,-118.4618
6/14/2020 0:00,6/14/2020 0:00,400,Rampart,236,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,M,H,YARD (RESIDENTIAL/BUSINESS),200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,4TH                          ST,BURLINGTON,34.0657,-118.268
11/6/2020 0:00,11/6/2020 0:00,1000,Central,158,1,210,ROBBERY,34,F,B,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,5TH,GLADYS,34.0421,-118.2405
6/14/2020 0:00,6/14/2020 0:00,1415,Topanga,2107,2,624,BATTERY - SIMPLE ASSAULT,44,M,W,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,SHERMAN                      WY,INDEPENDENCE                 AV,34.2234,-118.5932
8/26/2020 0:00,8/26/2020 0:00,220,Rampart,211,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,M,H,SIDEWALK,513.0,STUN GUN,IC,Invest Cont,230.0,CLINTON,KENMORE,34.0812,-118.2966
6/24/2020 0:00,6/24/2020 0:00,1600,Newton,1307,2,860,BATTERY WITH SEXUAL CONTACT,29,F,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,KOHLER                       ST,9TH                          ST,34.0349,-118.2436
11/27/2020 0:00,11/27/2020 0:00,330,77th Street,1211,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,27,F,B,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,SLAUSON                      AV,CRENSHAW                     BL,33.989,-118.3308
10/22/2020 0:00,10/22/2020 0:00,915,Pacific,1451,2,624,BATTERY - SIMPLE ASSAULT,58,M,B,BEACH,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,OCEAN FRONT                  WK,DRIFTWOOD,33.9695,-118.4606
12/27/2020 0:00,12/27/2020 0:00,700,Harbor,558,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,39,F,H,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,21ST                         ST,PATTON,33.7489,-118.2798
6/30/2020 0:00,6/30/2020 0:00,815,Central,157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",74,M,B,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,5TH,CROCKER,34.0435,-118.2427
2/13/2020 0:00,2/13/2020 0:00,1400,Southwest,363,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,49,F,B,SIDEWALK,511.0,VERBAL THREAT,IC,Invest Cont,930.0,MARTIN LUTHER KING JR        BL,CRENSHAW                     BL,34.0124,-118.3351
11/5/2020 0:00,11/5/2020 0:00,1025,Central,122,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,M,B,SIDEWALK,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,IC,Invest Cont,230.0,HILL                         PL,HILL                         ST,34.0559,-118.2451
12/21/2020 0:00,12/21/2020 0:00,840,77th Street,1268,1,210,ROBBERY,55,F,H,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210.0,79TH                         ST,BROADWAY,33.9679,-118.2783
8/9/2020 0:00,8/9/2020 0:00,2300,77th Street,1269,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,F,H,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,CENTRAL                      AV,MANCHESTER                   AV,33.9602,-118.2564
3/29/2020 0:00,3/29/2020 0:00,1330,Southeast,1841,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,35,M,H,STREET,511.0,VERBAL THREAT,AO,Adult Other,930.0,VERMONT                      AV,106TH                        ST,33.9399,-118.2916
12/17/2020 0:00,11/21/2020 0:00,100,77th Street,1239,1,210,ROBBERY,31,M,B,STREET,102.0,HAND GUN,AO,Adult Other,210.0,61ST                         ST,FLOWER,33.9863,-118.2881
2/27/2020 0:00,2/27/2020 0:00,100,77th Street,1207,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",31,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,MENLO,VERNON,34.0037,-118.2896
